Tweets,hash,Score
full_text,hashtags,0
 hay que acabar con los problemas desde la raíz que muera donald trump!!! donaldtrump pedofilos asesino gobiernocriminal,"donaldtrump,pedofilos,asesino,gobiernocriminal",0
 rt 🔥🔥 dems4usa grassroots organization focusing 📌creating bluetsunami amp bluewave2020 📌electing joebiden…,"dems4usa,bluetsunami,bluewave2020,joebiden",0
 rt 🔥🔥 dems4usa grassroots organization focusing 📌creating bluetsunami amp bluewave2020 📌electing joebiden…,"dems4usa,bluetsunami,bluewave2020,joebiden",0
 rt wegen trump forderung deutsche politiker von dielinke spd amp grüne solidarisieren sich mit antifa terroristen …,"trump,dielinke,spd,grüne,antifa,terroristen",0
 rt polish girl stirring speech trojan horse muslim refugee invaders poles support trump's immigration policy maga ht…,"trump,maga",1
 rt polish girl stirring speech trojan horse muslim refugee invaders poles support trump's immigration policy maga ht…,"trump,maga",1
 since day one trump assaulted,trump,-1
 rt kommentar was trump da macht ist widerlich trump usa kommentar floyd rassismus,"trump,usa,kommentar,floyd,rassismus",0
 rt blood انجیل بدست همراه تیمش the storm way طوفان در راهست trump,trump,0
 rt you know i go street there's trump sign size house i'm trump 💯 👍commonsense…,trump,0
 protest peacefully protest smart no rioting! you are winning! georgefloyd “the gentle giant ” be civil and…,georgefloyd,-1
 rt weil da schon wieder welche von diktatur erzählen und von wegen ohne anfrage der bundesstaaten bricht trump die verfassu…,trump,-1
 pur di non candidare sanders dunque trump,"sanders,trump",0
 rt c'est curieux ce soudain engouement de tous les guignols de l'info française pour les usa du méchant trump les mêmes…,trump,0
 rt solo por mencionar algunos porque hay muchos más trump tiene en contra soros bezos gates slim cuatro de las person…,trump,0
 rt trump hat sich einem bunker im weißen haus vor protesten geschützt wir als deutsche können aus erfahrung sagen ab dies…,trump,0
 america divide 2 nations easy thing fix justice system head toe trump blm georgefloyd,"trump,blm,georgefloyd",-1
 america divide 2 nations easy thing fix justice system head toe trump blm georgefloyd,"trump,blm,georgefloyd",-1
 rt trump die antifa als terroristische vereinigung verbieten lassen weil sie schuld den unruhen seien der tipp dafür…,trump,-1
 rt solo por mencionar algunos porque hay muchos más trump tiene en contra soros bezos gates slim cuatro de las person…,trump,0
 rt jani según 🇺🇸👎 el pentágono pide dimisión de trump!!! 🇺🇸👎 que tu crees civilwar2 trumpout2020 …,"trump,civilwar2,trumpout2020",-1
 rt jani según 🇺🇸👎 el pentágono pide dimisión de trump!!! 🇺🇸👎 que tu crees civilwar2 trumpout2020 …,"trump,civilwar2,trumpout2020",-1
 rt solo por mencionar algunos porque hay muchos más trump tiene en contra soros bezos gates slim cuatro de las person…,trump,0
 rt this police ease protest instead using violence americans follow trump…,trump,-1
 rt 13 everybody calling trump vindicated says never liked epstein lot bs coming mouth an…,"trump,epstein",1
 rt trump alle mitgliederlisten der antifa geleakt wird nun durch eine weitergeleitete nachricht von federal research agency f…,trump,0
 rt ein antifa account rief bei twitter zu gewalt auf donald trump jr nannte den account als beispiel dafür wie gefähr…,trump,0
 if donaldtrump strong amp decisive covid19 would’nt 100 000 american dead donaldout,"donaldtrump,covid19,donaldout",-1
 if donaldtrump strong amp decisive covid19 would’nt 100 000 american dead donaldout,"donaldtrump,covid19,donaldout",-1
 double standards democracy trump secpompeo languages talking iran protests amnesty but…,"trump,secpompeo,iran,amnesty",-1
 rt 🎥🆘 eeuu 🇺🇸 a b e r r a n t e 🛑policías esbirros del dictador satrapa trump fumigan manifestantes pro democracia…,"eeuu,trump",0
 rt día nose pero en casita cuidándome les hice otra videito pasa combatir el 🦠 trump chiledesperto covid19chile…,"trump,chiledesperto,covid19chile",0
 rt trump de retour après la restriction de mon compte par twitter décision ahurissante ai je harcelé quel…,trump,-1
 rt non riesco capire perché la protesta per la morte di georgeflyod sia indirizzata verso trump il minnesota è uno…,"georgeflyod,trump,minnesota",0
 remain silent! trump 45impeached bunkerdotard,"trump,45impeached,bunkerdotard",0
 rt wow incredible anonymous anonymus donaldtrump georgefloyd icantbreath protests2020 trumpout2020 whitehou…,"anonymous,anonymus,donaldtrump,georgefloyd,icantbreath,protests2020,trumpout2020",-1
 rt wow incredible anonymous anonymus donaldtrump georgefloyd icantbreath protests2020 trumpout2020 whitehou…,"anonymous,anonymus,donaldtrump,georgefloyd,icantbreath,protests2020,trumpout2020",-1
 rt wow incredible anonymous anonymus donaldtrump georgefloyd icantbreath protests2020 trumpout2020 whitehou…,"anonymous,anonymus,donaldtrump,georgefloyd,icantbreath,protests2020,trumpout2020",-1
 rt donald trump made 😓 donald trump trump justiceforgeorgefloyd georgefloyd georgefloydwasmurdered,"trump,justiceforgeorgefloyd,georgefloyd,georgefloydwasmurdered",-1
 rt donald trump made 😓 donald trump trump justiceforgeorgefloyd georgefloyd georgefloydwasmurdered,"trump,justiceforgeorgefloyd,georgefloyd,georgefloydwasmurdered",-1
 rt donald trump made 😓 donald trump trump justiceforgeorgefloyd georgefloyd georgefloydwasmurdered,"trump,justiceforgeorgefloyd,georgefloyd,georgefloydwasmurdered",-1
 rt donald trump made 😓 donald trump trump justiceforgeorgefloyd georgefloyd georgefloydwasmurdered,"trump,justiceforgeorgefloyd,georgefloyd,georgefloydwasmurdered",-1
 rt please share video amp vote votebluetosaveamerica,votebluetosaveamerica,1
 wow hey make sure loot staples macy's wear mask trump,trump,1
 rapist maga donaldisoverparty donaldtrump,"maga,donaldisoverparty,donaldtrump",-1
 rapist maga donaldisoverparty donaldtrump,"maga,donaldisoverparty,donaldtrump",-1
 rapist maga donaldisoverparty donaldtrump,"maga,donaldisoverparty,donaldtrump",-1
 rt wow incredible anonymous anonymus donaldtrump georgefloyd icantbreath protests2020 trumpout2020 whitehou…,"anonymous,anonymus,donaldtrump,georgefloyd,icantbreath,protests2020,trumpout2020",-1
 rt wow incredible anonymous anonymus donaldtrump georgefloyd icantbreath protests2020 trumpout2020 whitehou…,"anonymous,anonymus,donaldtrump,georgefloyd,icantbreath,protests2020,trumpout2020",-1
 rt wow incredible anonymous anonymus donaldtrump georgefloyd icantbreath protests2020 trumpout2020 whitehou…,"anonymous,anonymus,donaldtrump,georgefloyd,icantbreath,protests2020,trumpout2020",-1
 donald trump jr ist ein idiot,trump,-1
 courage battez vous haut et fort et makeamericagreatagain 🧡 votebluetosaveamerica,"makeamericagreatagain,votebluetosaveamerica",1
 courage battez vous haut et fort et makeamericagreatagain 🧡 votebluetosaveamerica,"makeamericagreatagain,votebluetosaveamerica",1
 rt donald trump kündigt twitter den kampf und socialmedia mit section230 die leine legen auch der eu setzt de…,"trump,twitter,socialmedia,section230,eu",-1
 opdeatheaters trump donaldtrump donaldisoverparty donaldtrumpisarapist potus,"opdeatheaters,trump,donaldtrump,donaldisoverparty,donaldtrumpisarapist,potus",0
 opdeatheaters trump donaldtrump donaldisoverparty donaldtrumpisarapist potus,"opdeatheaters,trump,donaldtrump,donaldisoverparty,donaldtrumpisarapist,potus",0
 opdeatheaters trump donaldtrump donaldisoverparty donaldtrumpisarapist potus,"opdeatheaters,trump,donaldtrump,donaldisoverparty,donaldtrumpisarapist,potus",0
 rt solo queria decir la verdad casablanca anonymuos donaldtrump,"casablanca,anonymuos,donaldtrump",0
 rt 🔥 dictatortrump it‘s time go we’ll begin heal elect joe you’ll known end time as 👉racis…,dictatortrump,-1
 “corona de schuld van de chinezen” een roekeloze trump en de ondergang van americanempire …,"trump,americanempire",0
 rt zemmour en censurant trump twitter lui conteste le monopole de la violence légitime que lui confère son mandat de…,"zemmour,trump,twitter",-1
 rt anonymuos anonymous michealjackson michaeljacksoninnocent donaldtrump pizzagate,"anonymuos,anonymous,michealjackson,michaeljacksoninnocent,donaldtrump,pizzagate",0
 rt sniper secret service secretservice sniper trump police riots washington,"secretservice,sniper,trump,police,riots,washington",-1
 rt trump die antifa als terroristische vereinigung verbieten lassen weil sie schuld den unruhen seien der tipp dafür…,trump,-1
 rt com anarchist trump instigator “in every age tyrant oppressor exploiter ha…,"anarchist,trump,instigator,tyrant,oppressor,exploiter",0
 fai pace col cervello covid19 trump,"covid19,trump",0
 brilliantly funny profoundly sad truth bunkerbitch bunkerboy trump,"bunkerbitch,bunkerboy,trump",-1
 brilliantly funny profoundly sad truth bunkerbitch bunkerboy trump,"bunkerbitch,bunkerboy,trump",-1
 rt babes combien est pathétique ce geste de trump se faisant filmer devant l'église épiscopalienne de washington bible à la ma…,"trump,washington,bible",0
 rt ks americaortrump police ease protest instead using violence americans trump anom…,"americaortrump,trump",-1
 rt 13 must f'cking blind dumb stupid fool not see trump time amp time again! look talked a…,trump,-1
 rt fast poll day what one word would use describe trump this poll ends tonight please vote retwe…,"poll,trump",1
 rt i'm no pope but i don't think bible suppose holding trump bunkerboy dcblackout https …,"trump,bunkerboy,dcblackout",-1
 rt i'm no pope but i don't think bible suppose holding trump bunkerboy dcblackout https …,"trump,bunkerboy,dcblackout",-1
 rt quando fascisti sono difficoltà tirano fuori la bibbia e il rosario 🤬 2giugno2020 blakelivesmatter …,"2giugno2020,blakelivesmatter",0
 as ethnic minority i don't see trump racist bigoted,trump,1
 1 anonymous filtró información que asegura una relación entre donaldtrump jeffrey epstein líder de una fuerte…,donaldtrump,0
 rt taylorswift arremete contra el presidente donaldtrump en las redes vía 📸 👉 …,"taylorswift,donaldtrump",0
 rt “what i harvest it’s power am i right nothing happening!” trump trumpresignnow trump …,"trumpresignnow,trump",-1
 rt “what i harvest it’s power am i right nothing happening!” trump trumpresignnow trump …,"trumpresignnow,trump",-1
 rt trump anomymous protests2020 fucking child molester,"trump,anomymous,protests2020",-1
 donaldtrump dificil mi contraseña anonymous,"donaldtrump,anonymous",0
 rt yes! gets does rest democratic leadership trump not leaving office peacefully t…,trump,-1
 rt turns wasn’t actually bible trumpdictatorship trump gethimout trumpout2020 trumpresignnow htt…,"trumpdictatorship,trump,gethimout,trumpout2020,trumpresignnow",-1
 rt turns wasn’t actually bible trumpdictatorship trump gethimout trumpout2020 trumpresignnow htt…,"trumpdictatorship,trump,gethimout,trumpout2020,trumpresignnow",-1
 rt turns wasn’t actually bible trumpdictatorship trump gethimout trumpout2020 trumpresignnow htt…,"trumpdictatorship,trump,gethimout,trumpout2020,trumpresignnow",-1
 rt turns wasn’t actually bible trumpdictatorship trump gethimout trumpout2020 trumpresignnow htt…,"trumpdictatorship,trump,gethimout,trumpout2020,trumpresignnow",-1
 rt this indianapolis this impd anonymous anonymus blacklivesmatter donaldtrump georgefloyd icantbreath prot…,"anonymous,anonymus,blacklivesmatter,donaldtrump,georgefloyd,icantbreath",-1
 rt this indianapolis this impd anonymous anonymus blacklivesmatter donaldtrump georgefloyd icantbreath prot…,"anonymous,anonymus,blacklivesmatter,donaldtrump,georgefloyd,icantbreath",-1
 houston politiechef namens de politiechefs tegen trump als je niks constructiefs te zeggen hebt hou dan je…,"houston,politiechef,trump",0
